keyword,n_articles,pearson_comments,spearman_comments,mi_comments,pearson_sentiment,spearman_sentiment,mi_sentiment,volume_rank,sentiment_rank,overall_rank
"trump, donald j",528,0.3129670355111456,0.4008709115605128,0.0794265986067637,-0.2938468328403719,-0.3515148245872538,0.0905099544812264,2.0,1.0,1.5
presidential election of 2016,243,0.2614240589606547,0.2740533224665228,0.0627025522297131,-0.1800965015136244,-0.2223851141687005,0.0307739176721071,3.0,7.0,5.0
united states politics and government,531,0.3413916558790852,0.4082273176433164,0.0837442012212632,-0.1712389443744279,-0.1620371603511008,0.0618170188277671,1.0,10.333333333333334,5.666666666666667
russia,115,0.2116636039742353,0.2317451890234738,0.0356835617944315,-0.1520980618634523,-0.2167469206533354,0.043379136300067,4.666666666666667,8.666666666666666,6.666666666666666
federal bureau of investigation,90,0.1682980532456013,0.1811039589566727,0.0222252774287778,-0.207344511904767,-0.2730671366198508,0.0372067748354769,9.0,4.666666666666667,6.833333333333334
cyberwarfare and defense,63,0.2205220888277818,0.2057981786605387,0.0249554248829664,-0.12946071847041,-0.1935959198236401,0.0343245293237173,6.0,12.333333333333334,9.166666666666668
justice department,58,0.1593438831703563,0.1693240665449666,0.0163312861239246,-0.1537998770280755,-0.2095461313172077,0.0290387778699834,11.666666666666666,11.333333333333334,11.5
espionage and intelligence services,36,0.2068776682947856,0.1723868180600306,0.0311825628143387,-0.1185336937286694,-0.1780650080862952,0.0308772259886886,7.333333333333333,16.333333333333332,11.833333333333332
"comey, james b",51,0.2258775494535728,0.2026690688093473,0.0338020500272266,-0.120545353484598,-0.1708997147233922,0.0113041638605408,5.0,25.666666666666668,15.333333333333334
russian interference in 2016 us elections and ties to trump associates,202,0.0508408239741191,0.1263882724782428,0.0174993091331185,-0.2403758779057733,-0.3137508846689747,0.0306161237478184,27.0,4.666666666666667,15.833333333333334
"sanders, bernard",58,0.1107962589222415,0.0777524827440916,0.0066308422633987,0.125192699852122,0.1849379673227243,0.0226644440293533,29.666666666666668,17.666666666666668,23.666666666666668
special prosecutors (independent counsel),69,0.0897863008648674,0.1283589452754102,0.0013384668359264,-0.1627927922552462,-0.1928926157672753,0.014676728323987,36.0,14.333333333333334,25.166666666666668
house of representatives,67,0.1189151954173538,0.1449398607122549,0.01714406738508,-0.085343042698484,-0.1064332360909233,0.0063977244758963,13.0,41.0,27.0
"mueller, robert s iii",74,0.0684418688230669,0.1163082573272601,0.0037161496824769,-0.1435283933743049,-0.1826752905250772,0.0158914598637238,37.0,17.333333333333332,27.166666666666664
democratic party,219,0.0749314412423027,0.0806003522280093,0.000146158805085,0.1750547830864843,0.2658461557836373,0.0544178513411912,50.66666666666666,4.666666666666667,27.666666666666664
presidential election of 2020,174,0.0862411454309589,0.0691119918133402,0.0,0.2081671026887377,0.2741545765749422,0.0516467453447777,56.0,3.333333333333333,29.666666666666668
politics and government,93,-0.176287316554167,-0.2015260800067481,0.0250819162529054,0.0478442007948575,0.0892962742138698,0.0071866059245322,7.666666666666667,52.0,29.83333333333333
united states international relations,72,0.0753606183990072,0.0690338981764398,0.0111794324508254,-0.0913442542964863,-0.1121071325551178,0.0209299002849867,33.0,28.0,30.5
republican party,159,0.0570714077443146,0.1037053380416044,0.0086297046172312,-0.0966460165794629,-0.0889347433856938,0.0243586517772438,32.333333333333336,30.666666666666668,31.5
impeachment,41,0.096131617890129,0.0939603261953517,0.004277527374368,-0.0744188624871439,-0.0970576444814849,0.008520135109294,31.666666666666668,39.0,35.333333333333336
"elections, house of representatives",81,-0.0717701082370553,-0.0689541889399268,0.0115477492572972,0.0659368750131024,0.1412682610882289,0.0060780969560501,33.333333333333336,42.333333333333336,37.833333333333336
"warren, elizabeth",45,0.0469373823843959,0.0407279279650516,0.0009376727654439,0.1468703314556521,0.191234402803518,0.0280622095693605,63.0,13.333333333333334,38.16666666666666
primaries and caucuses,66,-0.0057223541876229,-0.0243428024158601,0.0143602466557997,0.1742416071373987,0.2253568599793114,0.0291769442591127,68.66666666666667,8.0,38.333333333333336
"cohen, michael d (1966- )",27,0.0759817120470262,0.1117858186619241,0.0122406950947615,-0.0501290035814771,-0.0581274749763809,0.0075851549969208,25.0,56.66666666666666,40.83333333333333
midterm elections (2018),71,-0.0512547521450494,-0.041804049451653,0.0037542236221015,0.1008149319636391,0.1523053953112742,0.009384736191506,54.66666666666666,29.666666666666668,42.16666666666666
"obama, barack",27,0.1460457687346191,0.0641102468635546,0.0033080149854005,-0.0614971416327113,-0.0739037775429891,0.0080586715753656,38.0,50.0,44.0
house committee on intelligence,31,0.017946087550867,0.06111717828628,0.0,-0.156178935949611,-0.2145141937591625,0.0268345670183887,79.33333333333333,11.333333333333334,45.33333333333333
trump-ukraine whistle-blower complaint and impeachment inquiry,42,0.0843980708935165,0.0841287381909641,0.0040727472113752,-0.0528865750840303,-0.0739612988296795,0.004170995300559,38.0,61.333333333333336,49.66666666666667
polls and public opinion,39,-0.0134013872680944,-0.0257487122568889,0.0032497247393254,0.1100076679071098,0.1574224857384952,0.017328988377181,77.66666666666667,22.666666666666668,50.16666666666667
classified information and state secrets,25,0.0332719229530764,0.0670208438273445,0.0,-0.1005729300942267,-0.1446277790465441,0.0086242328645547,70.0,31.666666666666668,50.833333333333336
iowa,35,-0.018921497486355,-0.0269883506307413,0.0,0.1619405141074843,0.188286055897022,0.0128358729413957,88.0,17.666666666666668,52.833333333333336
senate,61,0.1025198721987259,0.1144487661116373,0.0,-0.0699296560263883,-0.0966523809959608,0.0,46.333333333333336,62.16666666666666,54.25
elections,76,-0.1432633927388967,-0.1707071700095805,0.0221325738180919,0.0069891683807587,0.0097906345174427,0.0023761547326812,11.0,97.66666666666669,54.333333333333336
"putin, vladimir v",45,0.044965914504312,0.0564932860615504,0.0,-0.058726634932425,-0.0800913204919541,0.0124982164939495,69.0,46.0,57.5
immigration and emigration,27,-0.0616993880050402,-0.0518102265231321,0.0122976293662839,-0.0430703569192796,-0.0320261251956101,0.0020294674665344,39.0,78.33333333333333,58.66666666666666
"clinton, hillary rodham",54,0.1178797706297224,0.1184957052080735,0.0128378794958512,-0.0034704359097653,0.0047908681027962,0.0,17.333333333333332,107.5,62.41666666666666
women and girls,26,-0.0157110352017072,0.000317599682035,0.0018363978398563,0.0639949241819525,0.1046192796835609,0.0132549743193051,89.0,37.333333333333336,63.16666666666667
"biden, joseph r jr",59,0.013872798416356,0.0006282047107077,0.0,0.1289128366320541,0.1546888425290493,0.0119304099860728,101.33333333333331,25.33333333333333,63.33333333333333
"elections, senate",28,-0.0237146500915027,-0.0313981194566839,0.0043615390250091,0.0550199536520913,0.0895529425352722,0.0,66.33333333333333,68.16666666666667,67.25
facebook inc,30,-0.0386754695182035,-0.0255705656116763,0.0,-0.0581828161551417,-0.0856226500239956,0.0037945554379401,79.66666666666667,58.333333333333336,69.0
social media,30,-0.0073247125206929,0.0051689855807294,0.0038065091496708,-0.0657764707802934,-0.0810353303995364,0.003500851363011,86.33333333333333,56.66666666666666,71.5
voting and voters,63,0.005410334967965,-0.0158187634236318,0.0,0.0600561998241984,0.0944725876227953,0.0102705421705713,99.66666666666669,43.66666666666666,71.66666666666667
news and news media,40,-0.0146245496374253,-0.0289363756586639,0.0,0.0224737369235783,-0.0220175526452579,0.0006086714220507,89.33333333333333,91.33333333333331,90.33333333333331
campaign finance,38,-0.0219491279413518,-0.0059937849859626,0.0,-0.0016324885949224,0.0248564819355433,0.0,96.0,102.83333333333331,99.41666666666666
